年月日,時刻コード,始値（円/kWh）,高値（円/kWh）,安値（円/kWh）,終値（円/kWh）,平均（円/kWh）,約定量合計（MWh/h）,約定件数
2020/04/01,1,7.55,9.19,4.87,9.19,6.91,139.5,27
2020/04/01,2,6.98,8.46,4.19,7.51,6.57,138.1,26
2020/04/01,3,6.75,8.00,4.09,8.00,6.67,113.3,27
2020/04/01,4,6.55,8.46,4.04,8.46,6.46,95.5,24
2020/04/01,5,6.74,7.95,4.09,7.95,6.38,87.3,27
2020/04/01,6,6.64,8.49,4.43,8.10,6.18,81.1,31
2020/04/01,7,6.50,8.25,4.43,6.31,5.73,106.8,32
2020/04/01,8,6.50,7.90,4.04,6.31,6.34,98.0,27
2020/04/01,9,6.50,8.30,4.00,6.40,6.13,95.9,30
2020/04/01,10,6.22,8.20,4.00,6.47,6.36,211.3,40
2020/04/01,11,6.20,9.36,4.00,6.56,6.36,154.3,26
2020/04/01,12,6.60,9.36,4.04,4.30,6.31,157.5,29
2020/04/01,13,6.65,10.15,4.30,4.30,6.57,198.5,43
2020/04/01,14,6.90,10.46,4.34,4.34,6.40,212.6,45
2020/04/01,15,7.58,11.85,4.77,6.98,7.14,193.5,36
2020/04/01,16,8.65,11.04,4.77,8.73,7.66,241.9,37
2020/04/01,17,9.00,13.05,5.73,9.53,8.60,218.2,36
2020/04/01,18,9.17,12.77,6.12,12.69,9.18,268.2,54
2020/04/01,19,11.45,13.41,6.12,11.05,9.72,325.9,69
2020/04/01,20,11.45,13.10,6.12,10.07,9.80,402.8,88
2020/04/01,21,10.34,12.73,6.12,8.00,9.53,402.6,78
2020/04/01,22,10.34,11.00,6.12,8.22,9.40,364.3,66
2020/04/01,23,7.58,11.09,6.12,8.53,8.94,383.2,71
2020/04/01,24,7.56,11.09,6.12,8.19,8.89,367.2,72
2020/04/01,25,6.43,11.88,2.87,6.93,8.08,499.8,115
2020/04/01,26,11.50,15.41,2.87,6.93,8.22,504.0,114
2020/04/01,27,8.99,13.38,4.67,8.40,8.88,454.9,99
2020/04/01,28,9.82,13.88,2.00,9.34,8.86,447.3,99
2020/04/01,29,9.31,17.05,3.16,9.07,8.13,635.9,130
2020/04/01,30,9.54,10.06,4.77,5.02,8.25,535.2,116
2020/04/01,31,9.22,15.69,2.87,4.91,8.35,476.1,118
2020/04/01,32,13.25,32.00,3.00,9.90,9.22,519.8,146
2020/04/01,33,12.68,12.76,5.00,8.83,9.02,476.1,131
2020/04/01,34,13.37,18.94,5.37,11.13,9.33,463.0,136
2020/04/01,35,10.10,15.00,4.26,8.80,8.43,681.4,158
2020/04/01,36,9.86,13.08,5.00,9.25,9.09,645.9,156
2020/04/01,37,9.24,15.00,5.20,9.47,8.63,483.6,142
2020/04/01,38,9.60,15.40,5.42,8.32,8.55,496.6,140
2020/04/01,39,9.63,19.50,5.42,8.76,8.41,466.3,111
2020/04/01,40,9.04,15.00,5.00,7.74,7.39,476.7,110
2020/04/01,41,9.01,15.00,4.63,7.48,7.18,503.5,110
2020/04/01,42,7.21,11.36,5.18,7.70,7.11,380.1,72
2020/04/01,43,9.91,11.38,4.98,8.81,7.23,422.2,90
2020/04/01,44,8.93,10.75,4.67,7.73,6.95,333.6,80
2020/04/01,45,9.63,10.73,4.65,9.85,7.40,374.2,90
